# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
5.007927,1,0.345348,0.263388,-0.008132,-0.004450
5.018457,1,0.345345,0.263393,-0.004413,-0.004450
5.028989,1,0.345321,0.263415,0.009531,-0.003520
5.039528,1,0.345291,0.263458,-0.008132,-0.012816
5.050058,1,0.345213,0.263447,0.003954,-0.009098
5.060591,1,0.345176,0.263438,-0.002554,-0.006309
5.071121,1,0.345144,0.263439,0.005813,-0.006309
5.081654,1,0.345082,0.263470,0.001165,0.001128
5.092200,1,0.345035,0.263465,-0.003483,-0.010028
5.102743,1,0.344986,0.263460,0.001165,-0.009098
